Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
52,"Der Mann, der zuviel wusste (Que Sera Sera)","Doris Day, Frank DeVol",1956,https://www.youtube.com/watch?v=SdhAfMor9BM,463a5dafa888d2d3165dabc512db7a934c5d7037b69f36943fc3fe04a1388088,"Doris Day - Que Sera, Sera (Whatever Will Be Will Be)",USSM10028232
53,Batman,Danny Elfman,1989,https://www.youtube.com/watch?v=YoaU3kRFvLg,e38894d8f45a4a5a34c375a634c37ee21fc4be64eb048a26cae35b4d39ecacc9,The Batman Theme,USWB10000074
54,Armageddon (I Don't Want to Miss a Thing),Aerosmith,1998,https://www.youtube.com/watch?v=ujMxXOHJloI,2a351fb1a01f1bd7c663d7619835dd69f946ece9ba26cf1315f85bd6e3e054e6,Aerosmith - I Don't Wanna Miss a Thing - Armageddon - Original Soundtrack | SPOILER ALERT!,USSM19801545
55,Shaft,Isaac Hayes,1971,https://www.youtube.com/watch?v=Q429AOpL_ds,20cca9e97849f398eb47eb2d8c766865501e03b5b808c3588e66d33c0b71bf6f,Isaac Hayes - Theme From Shaft (1971),USFI87100103
56,Das Leben des Brian (Always Look On The Bright Side Of Life),Monty Python,1979,https://www.youtube.com/watch?v=SJUhlRoBL8M,bc9b72d813830de61809dad01d796e3779babfc5495ac9954d83b380c488e42b,"Eric Idle - ""Always Look On The Bright Side Of Life"" - STEREO HQ",GBAAA8900451
57,Game of Thrones,Ramin Djawadi,2011,https://www.youtube.com/watch?v=kROXpb3Gagg,0a1e5c82919c3fc94ed8db5f33940e7e29b13a8a3e5ce8039a755227b4551638,Ramin Djawadi - Main Title (Extended) [Game of Thrones],US3M51109701
58,The Mandalorian,Ludwig Göransson,2019,https://www.youtube.com/watch?v=rXJa1YcV6OQ,6e0d579f25b7e18db978fa2d860738969e1dfbf00b5f6a0ca77488a46b675e79,Ludwig Göransson | Scoring The Mandalorian | Disney+,USWD11995118
59,Akte X - The X Files,John Beal,1993,https://www.youtube.com/watch?v=Fy91jfscEsw,23532bd65095653391de577c054366d06fb6ba07d12d5a6531ccbde1eab77a21,The X Files Theme,USY251513365
60,Die Schöne und das Biest - Beauty and the Beast,Angela Lansbury,1991,https://www.youtube.com/watch?v=90b2R6yzIzE,d61f405a04467e28d06453b600825f159f84bca4c110febcb85d35cbaa9eb94c,Beauty and the Beast (Remastered 2018),USWD10220465
61,Moulin Rouge (El Tango De Roxanne),"José Feliciano,Ewan McGregor,Jacek Koman",2001,https://www.youtube.com/watch?v=MQXaH5zIgy0,d792dad556801be4d976ff5fc2e9e3d6b55ae80dc456ea9fdbdd468c2c2d9cfe,"Ewan McGregor, José Feliciano and Jacek Koman - El Tango De Roxanne",USIR10110330
