Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
84,Wahnsinn,Wolfgang Petry,1983,https://www.youtube.com/watch?v=ExgfgiW-BJI,552930f82dcd4b982899719a2875b0eecf3b8d5c7911a9bf41fca8f824688672,Wahnsinn (2021 Remastered),
85,Counting Stars,OneRepublic,2013,https://www.youtube.com/watch?v=hT_nvWreIhg,4f9e977754083f330a1272b1f6d399f5f484cc6cbe51491dd4dd6496fce3de11,OneRepublic - Counting Stars,
86,Dragostea din tei,O-Zone,2003,https://www.youtube.com/watch?v=YnopHCL1Jk8,777d355af42786f9708a42a03afde035af9c70a419194e6d7bc297f396aee20d,O-Zone - Dragostea Din Tei [Official Video],
87,Everybody Hurts,R.E.M.,1992,https://www.youtube.com/watch?v=5rOiW_xY-kc,3a846baf1d03456c0c891b123d72fa746afc86f4f019b91d86d428671c62ef11,R.E.M. - Everybody Hurts (Official HD Music Video),
88,Just Give Me a Reason (feat. Nate Ruess),"Pink, Nate Ruess",2013,https://www.youtube.com/watch?v=OpQFFLBMEPI,40299bbd43cbba7d1f76a9ba902f804af314fde714fbe5c08aad9481e72403cf,P!nk - Just Give Me A Reason ft. Nate Ruess,
89,Joyride,Roxette,1991,https://www.youtube.com/watch?v=xCorJG9mubk,c6079429a3075801a21f542944b1ba3db95e930ae6b4242b1227f5d477a4fef6,Roxette - Joyride (Official Video),
90,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1954,https://www.youtube.com/watch?v=hzYBEJgKjv0,5d6ac85adcb6f79b7c47c1cbfc84b25f419e88dea3b14029251f81916a94aca1,[We're Gonna] Rock Around The Clock,
91,Bette Davis Eyes,Kim Carnes,1981,https://www.youtube.com/watch?v=EPOIS5taqA8,a63f4194bb7cc82342705f7cf4da11fa23c63528be13e0709bbcc195a6c66b51,Kim Carnes - Bette Davis Eyes,
92,Lambada,Kaoma,1989,https://www.youtube.com/watch?v=iyLdoQGBchQ,1e2a5209d82e86adec26543755857b74204ec1168380705266e44b23765b6ff2,Kaoma - Lambada (Official Video) 1989 HD,
93,Ain't Nobody,"Rufus, Chaka Khan",1983,https://www.youtube.com/watch?v=uBnISf3Rjx8,786c73a8f5a3c1d282dad32c4ff4061c4fec764e0ca125c11f09e0b22fedbb59,Ain't Nobody,
94,Have You Ever Seen The Rain,Creedence Clearwater Revival,1971,https://youtu.be/u1V8YRJnr4Q?t=16,2ecb57d908ab20ba4c9ab4e8c7741d46ecb57d46dad17fdfc39d9e3891c84d3f,Creedence Clearwater Revival - Have You Ever Seen The Rain (Official),
95,(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes",1987,https://www.youtube.com/watch?v=4BQLE_RrTSU,e64a7fa9c67ae33d4af3e5dd729884adb406a0d38fa58c84228edcf437ee2cd4,"Bill Medley, Jennifer Warnes - (I've Had) The Time Of My Life (Official HD Video)",
96,Piu bella cosa,Eros Ramazzotti,1996,https://www.youtube.com/watch?v=eTOKcxIujgE,6c86461c1453510a66d32800a0c0c42363f231454308fd08c9c98a8c6e6c55d8,Eros Ramazzotti - Più Bella Cosa (Official Video),
97,No Son Of Mine,Genesis,1991,https://www.youtube.com/watch?v=cddQn1mZRfI,0be62a3ed262129f0bdd2368b155e4de6c2490026e7bc6b97e150c21cef971f1,Genesis - No Son Of Mine (Official Music Video),
98,Happy,Pharrell Williams,2013,https://www.youtube.com/watch?v=ZbZSe6N_BXs,7878bf7cbe23768f8a8f4b541acdee6f6a9edf95f761e3839b03082897a9d4fc,Pharrell Williams - Happy (Video),
