"Card#","Title","Artist","Year","URL","Hashed Info","Youtube-Title","ISRC"
"452","Rapper's Delight","The Sugarhill Gang","1979.0","https://www.youtube.com/watch?v=rKTUAESacQM","f64abb372526c3ffef85810854305464e0ea2678654ebf06a004ddcb02290a7a","The Sugarhill Gang - Rapper's Delight",""
"453","Truth Hurts","Lizzo","2019.0","https://www.youtube.com/watch?v=P00HMxdsVZI","1abaf734da89f4a318f0bd5bffa75c00c1977a783639d085687fe67c1b887b42","Lizzo - Truth Hurts",""
"454","The Breaks","Kurtis Blow","1980.0","https://www.youtube.com/watch?v=zyjK1CpM8JQ","ccd82aeac48b940bb09f6d23ec7b3a330b4a747a0b34186b13bef3e4f60845ae","Kurtis Blow - The Breaks",""
"455","Planet Rock","Afrika Bambaataa,The Soulsonic Force","1982.0","https://www.youtube.com/watch?v=9J3lwZjHenA","82e00a6e7565f26098138dc6c913fda64ce897acb99a76ce12132a1cc7ffafe3","Afrika Bambaataa & The Soulsonic Force - Planet Rock",""
"456","AKON","Jazeek","2024.0","https://www.youtube.com/watch?v=eZlFOSbgDlo","d6fbd0fd19bf4c121d53c00ee89f2d22f8509dfbe0e1f587dff360dcce218697","Jazeek - AKON",""
"457","All 4 One","Kool Savas,AZAD","2005.0","https://www.youtube.com/watch?v=g9-zUnmmYHw","f343ce43657c66b4140cff9d17827c57c7e329b86f8eaee34435f5a72321c2e4","Kool Savas & Azad - All 4 One",""
"458","Waterfalls","TLC","1994.0","https://www.youtube.com/watch?v=8WEtxJ4-sh4","08b12348b8c3cf2c5df84ca124b257b56bed54124f9d23d9602e36a0fdef70e1","TLC - Waterfalls",""
"459","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Wanz","2012.0","https://www.youtube.com/watch?v=QK8mJJJvaes","9aa9286db1f2f834887d13ff2353b318e0be7daa1326ac1ef12d2c2cf05ea13d","Macklemore & Ryan Lewis - Thrift Shop",""
"460","Affalterbach","Shindy,Shirin David","2019.0","https://www.youtube.com/watch?v=XINBvGAaowI","f20f0f99837ddb8b56b8f92c74810f8ca831471886c006eed6638dff7cc2837f","Shindy - Affalterbach ft. Shirin David",""
"461","bauch beine po","Shirin David","2024.0","https://www.youtube.com/watch?v=U5R9dA9EeB8","35d24e6f5f87106320eedc4814fd27ef164f8c3e2102ef20d93b5b38d1ad30d2","Shirin David - bauch beine po",""
"462","Me Myself and I","De La Soul","1989.0","https://www.youtube.com/watch?v=zR9AlcgL6_0","26bb576394b59c4441534afa131dfe46a5b488f2a3e90f36973207d1dd59b3aa","De La Soul - Me Myself and I",""
"463","Anxiety","Doechii","2024.0","https://www.youtube.com/watch?v=riCP9x31Kuk","eaedf7dd6e19cca9782c8f81aaca852fe52ef7da8fc3b29e6dbcbf17b480236f","Doechii - Anxiety",""
"464","Funky Cold Medina","Tone-Loc","1989.0","https://www.youtube.com/watch?v=63ZIf2H9S0E","65908bcbe7ea85315253659708efa1835d3e1a2c528ac783c3051e45af1eed92","Tone Loc - Funky Cold Medina",""
"465","Jump","Kris Kross","1992.0","https://www.youtube.com/watch?v=010KyIQjkTk","4ecf8069203aa2e9162ddb601b9f6b101e991a58938040a56f4980bfc0009f49","Kris Kross - Jump",""
"466","Kids (2 Finger an den Kopf)","Marteria","2010.0","https://www.youtube.com/watch?v=fkMg_X9lHMc","87c7f4cbbbae0d724728de63618d5ecee5c9558f4a1f0a321fc685a5aa4b5157","Marteria - Kids (2 Finger an den Kopf)",""
"467","Jein","Fettes Brot","1996.0","https://www.youtube.com/watch?v=tcV7VN3l3bY","7966d19c51a44282b294db06a5f223537383be3842e7564a30a336d9e5284c50","Fettes Brot - Jein",""
"468","Tha Crossroads","Bone Thugs-N-Harmony","1996.0","https://www.youtube.com/watch?v=VMYAEHE2GrM","9c4c47e06bd31d4f7edc08ed639673753f2057d9d5c3a2619bcda84beb0f1269","Bone Thugs-N-Harmony - Tha Crossroads",""
"469","It Takes Two","Rob Base & DJ EZ Rock","1988.0","https://www.youtube.com/watch?v=phOW-CZJWT0","d5a8a8387fd77582c7900c1923cbbf902fe74e3feb705737c8c8317028506159","Rob Base & DJ EZ Rock - It Takes Two",""
"470","The Message - 7  Version","Grandmaster Flash,The Furious Five","1982.0","https://www.youtube.com/watch?v=PobrSpMwKk4","925e0ef7bb67d24d482cfee3189e2cdcc043c0a814dbc730e867aea5159c75cc","Grandmaster Flash & The Furious Five - The Message",""
"471","Doo Wop (That Thing)","Ms. Lauryn Hill","1998.0","https://www.youtube.com/watch?v=T6QKqFPRZSA","8be8ed6acb87bbf4665343f27ab89e588ed8f6e65faf8c543d57a27850ffdbed","Lauryn Hill - Doo Wop (That Thing)",""
"472","Höha, schnella, weita - Länga","Rödelheim Hartreim Projekt,Moses Pelham","1994.0","https://www.youtube.com/watch?v=80vFBNAbEgk","bcc09e5619c46ece7e51ca61108a63789e1e532d00ef840dc8e56ebb96a75cc3","Rödelheim Hartreim Projekt - Höha, schnella, weita",""
"473","Traum","CRO","2009.0","https://www.youtube.com/watch?v=8WQMBv2deYQ","580e51d1438ede422123ffab892e6632a4552d0eac97d3d3d4c604ba2522edb5","CRO - Traum",""
"474","Ahnma","Beginner,Gzuz,Gentleman","2016.0","https://www.youtube.com/watch?v=C6_Uk_2rkQg","e04bdea869d5756f570adb195360d81b4efb59e1996cae6fc7acd1bb4a19607e","Beginner - Ahnma feat. Gzuz & Gentleman (official Video)",""
